21
240;Cork
400;Pine (wood)
700;Oak (wood)
920;Polyethylene
1100;Caprone
1200;Plexiglas
1800;Brick
2300;Concrete
2300;Porcelain
2500;Glass
2700;Marble
2700;Aluminium
4000;Corundum
7000;Cast iron
7100;Zinc
7300;Tin
7800;Steel
8500;Brass
8900;Copper
10500;Silver
11300;Lead
